,X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area,Prediction
507,2,4,aug,fri,91.0,166.9,752.6,7.1,25.9,41,3.6,0.0,0.0,1.12
451,1,4,aug,fri,90.5,196.8,649.9,16.3,11.8,88,4.9,0.0,9.71,1.12
492,1,3,aug,fri,95.9,158.0,633.6,11.3,32.4,27,2.2,0.0,0.0,43.32
347,5,4,sep,fri,92.1,99.0,745.3,9.6,10.1,75,3.6,0.0,0.0,3.783703703703704
348,3,4,sep,fri,92.1,99.0,745.3,9.6,17.4,57,4.5,0.0,0.0,3.783703703703704
153,5,4,sep,fri,94.3,85.1,692.3,15.9,20.1,47,4.9,0.0,1.46,3.783703703703704
374,6,5,sep,fri,90.3,290.0,855.3,7.4,10.3,78,4.0,0.0,18.3,3.783703703703704
355,4,4,sep,fri,92.1,99.0,745.3,9.6,20.8,35,4.9,0.0,13.06,3.783703703703704
110,4,4,mar,fri,85.9,19.5,57.3,2.8,13.7,43,5.8,0.0,0.0,1.5485714285714285
111,3,4,mar,fri,91.7,33.3,77.5,9.0,18.8,18,4.5,0.0,0.0,1.5485714285714285
91,8,6,mar,fri,91.7,35.8,80.8,7.8,17.4,24,5.4,0.0,0.0,1.5485714285714285
3,8,6,mar,fri,91.7,33.3,77.5,9.0,8.3,97,4.0,0.2,0.0,1.5485714285714285
410,6,3,feb,fri,84.1,7.3,52.8,2.7,14.7,42,2.7,0.0,0.0,1.54
284,5,4,feb,fri,85.2,4.9,15.8,6.3,7.5,46,8.0,0.0,24.24,1.54
280,4,6,dec,fri,84.7,26.7,352.6,4.1,2.2,59,4.9,0.0,9.27,4.319838709677419
37,7,4,oct,fri,90.0,41.5,682.6,8.7,11.3,60,5.4,0.0,0.0,4.319838709677419
268,3,4,aug,tue,92.1,152.6,658.2,14.3,21.0,32,3.1,0.0,0.0,1.7869230769230766
73,5,4,aug,tue,88.8,147.3,614.5,9.0,17.3,43,4.5,0.0,0.0,1.7869230769230766
487,5,4,aug,tue,95.1,141.3,605.8,17.7,26.4,34,3.6,0.0,16.4,3.2
497,3,4,aug,tue,96.1,181.1,671.2,14.3,32.3,27,2.2,0.0,14.68,3.2
198,3,4,sep,tue,91.0,129.5,692.6,7.0,13.9,59,6.3,0.0,11.24,0.585
147,8,3,sep,tue,84.4,73.4,671.9,3.2,24.2,28,3.6,0.0,0.96,212.88
294,8,6,jul,tue,92.3,88.8,440.9,8.5,17.1,67,3.6,0.0,6.57,0.18
293,7,6,jul,tue,93.1,180.4,430.8,11.0,26.9,28,5.4,0.0,86.45,0.18
416,6,3,jul,tue,92.7,164.1,575.8,8.9,26.3,39,3.1,0.0,7.02,0.18
115,3,5,mar,tue,88.1,25.7,67.6,3.8,15.5,27,6.3,0.0,0.0,0.0
114,3,4,mar,tue,88.1,25.7,67.6,3.8,15.8,27,7.6,0.0,0.0,0.0
393,2,4,mar,tue,93.4,15.0,25.6,11.4,15.2,19,7.6,0.0,0.0,0.0
325,1,4,sep,sat,92.2,102.3,751.5,8.4,24.2,27,3.1,0.0,0.0,2.126
103,2,4,sep,sat,92.5,121.1,674.4,8.6,24.1,29,4.5,0.0,0.0,1090.84
331,7,4,sep,sat,91.2,124.4,795.3,8.5,21.5,28,4.5,0.0,15.64,0.0
256,8,6,aug,sat,94.2,117.2,581.1,11.0,23.9,41,2.2,0.0,8.02,3.450909090909091
461,8,6,aug,sat,93.7,231.1,715.1,8.4,18.9,64,4.9,0.0,0.0,3.450909090909091
377,2,2,aug,sat,93.7,231.1,715.1,8.4,21.9,42,2.2,0.0,174.63,3.450909090909091
257,4,3,aug,sat,94.2,117.2,581.1,11.0,21.4,44,2.7,0.0,0.68,3.450909090909091
460,2,5,aug,sat,93.7,231.1,715.1,8.4,18.9,64,4.9,0.0,0.0,3.450909090909091
259,7,4,aug,sat,91.8,170.9,692.3,13.7,23.7,40,1.8,0.0,1.38,0.0
38,7,3,oct,sat,90.6,43.7,686.9,6.7,17.8,27,4.0,0.0,0.0,0.0
291,9,4,jul,sat,91.6,104.2,474.9,9.0,25.3,39,0.9,0.0,8.0,0.30571428571428566
130,4,6,feb,sat,68.2,21.5,87.2,0.8,15.4,40,2.7,0.0,0.0,3.42
407,4,5,feb,sat,84.7,8.2,55.0,2.9,14.2,46,4.0,0.0,0.0,3.42
473,9,4,jun,sat,90.5,61.1,252.6,9.4,24.5,50,3.1,0.0,70.32,0.0
98,3,4,aug,sun,91.4,142.4,601.4,10.6,11.6,87,4.5,0.0,0.0,2.0475
25,7,4,aug,sun,91.4,142.4,601.4,10.6,16.3,60,5.4,0.0,0.0,2.0475
81,1,2,aug,sun,90.2,99.6,631.2,6.3,17.9,44,2.2,0.0,0.0,2.0475
164,8,5,sep,sun,89.7,90.0,704.4,4.8,17.8,67,2.2,0.0,2.01,0.4577777777777778
216,4,4,sep,sun,92.4,124.1,680.7,8.5,16.9,60,1.3,0.0,29.48,0.4577777777777778
202,7,4,feb,sun,83.9,8.7,32.1,2.1,8.8,68,2.2,0.0,13.05,3.19
129,2,5,oct,sun,92.6,46.5,691.8,8.8,15.4,35,0.9,0.0,0.0,0.0
125,3,4,oct,sun,92.6,46.5,691.8,8.8,20.6,24,5.4,0.0,0.0,2.13
309,2,4,sep,sun,92.4,105.8,758.1,9.9,24.9,27,2.2,0.0,0.0,2.13
172,7,4,aug,sun,91.4,142.4,601.4,10.6,20.1,39,5.4,0.0,2.74,2.13
396,4,3,sep,sun,90.5,96.7,750.5,11.4,20.4,55,4.9,0.0,3.64,62.525000000000006
514,7,4,aug,sun,81.6,56.7,665.6,1.9,21.2,70,6.7,0.0,11.16,62.525000000000006
477,4,3,jul,sun,93.7,101.3,423.4,14.7,26.1,45,4.0,0.0,7.36,3.3259999999999996
244,2,4,aug,sun,91.8,175.1,700.7,13.8,22.4,54,7.6,0.0,2.87,3.3259999999999996
414,5,4,aug,sun,93.6,235.1,723.1,10.1,24.1,50,4.0,0.0,0.0,3.3259999999999996
418,2,4,aug,sun,92.0,203.2,664.5,8.1,24.9,42,5.4,0.0,2.44,3.3259999999999996
511,8,6,aug,sun,81.6,56.7,665.6,1.9,27.8,35,2.7,0.0,0.0,0.68
5,8,6,aug,sun,92.3,85.3,488.0,14.7,22.2,29,5.4,0.0,0.0,0.68
441,8,6,aug,mon,92.1,207.0,672.6,8.2,25.5,29,1.8,0.0,1.23,0.7027272727272728
7,8,6,aug,mon,91.5,145.4,608.2,10.7,8.0,86,2.2,0.0,0.0,0.7027272727272728
260,2,4,aug,mon,93.6,97.9,542.0,14.4,28.3,32,4.0,0.0,8.85,0.7027272727272728
64,2,2,aug,mon,91.1,103.2,638.8,5.8,23.1,31,3.1,0.0,0.0,0.7027272727272728
222,4,3,mar,mon,87.6,52.2,103.8,5.0,11.0,46,5.8,0.0,36.85,0.0
48,4,4,mar,mon,87.2,23.9,64.7,4.1,11.8,35,1.8,0.0,0.0,0.0
466,6,5,mar,mon,87.2,15.1,36.9,7.1,10.2,45,5.8,0.0,3.18,31.86
335,4,3,sep,mon,91.6,108.4,764.0,6.2,9.8,86,1.8,0.0,0.0,0.0
479,7,4,jul,mon,89.2,103.9,431.6,6.4,22.6,57,4.9,0.0,278.53,0.815
472,8,3,jun,mon,88.2,96.2,229.0,4.7,14.3,79,4.0,0.0,1.94,1.76
432,8,6,aug,thu,94.8,222.4,698.6,13.9,23.9,38,6.7,0.0,0.0,5.181395348837209
491,4,4,aug,thu,95.8,152.0,624.1,13.8,32.4,21,4.5,0.0,0.0,5.181395348837209
373,5,4,aug,thu,94.8,222.4,698.6,13.9,20.3,42,2.7,0.0,0.0,5.181395348837209
275,4,6,dec,thu,84.6,26.4,352.0,2.0,5.1,61,4.9,0.0,5.38,5.181395348837209
415,8,6,aug,thu,94.8,222.4,698.6,13.9,27.5,27,4.9,0.0,746.28,5.181395348837209
430,7,4,sep,thu,89.7,287.2,849.3,6.8,19.4,45,3.6,0.0,0.0,5.181395348837209
322,6,5,sep,thu,92.8,119.0,783.5,7.5,16.8,28,4.0,0.0,1.01,5.181395348837209
149,8,6,sep,thu,93.7,80.9,685.2,17.9,23.7,25,4.5,0.0,1.12,5.181395348837209
480,9,9,jul,thu,93.2,114.4,560.0,9.5,30.2,25,4.5,0.0,2.75,5.181395348837209
84,1,2,aug,thu,91.7,114.3,661.3,6.3,20.2,45,3.6,0.0,0.0,5.181395348837209
205,4,5,sep,thu,92.9,137.0,706.4,9.2,22.1,34,1.8,0.0,14.57,5.181395348837209
387,5,5,mar,thu,90.9,18.9,30.6,8.0,11.6,48,5.4,0.0,0.0,5.181395348837209
141,1,2,aug,wed,95.5,99.9,513.3,13.2,23.3,31,4.5,0.0,0.55,1.6847058823529413
457,1,4,aug,wed,91.7,191.4,635.9,7.8,19.9,50,4.0,0.0,82.75,1.6847058823529413
167,6,5,aug,wed,96.0,127.1,570.5,16.5,23.4,33,4.5,0.0,2.51,1.6847058823529413
18,6,4,mar,wed,89.2,27.9,70.8,6.3,15.9,35,4.0,0.0,0.0,1.6847058823529413
144,2,5,aug,wed,95.5,99.9,513.3,13.2,23.8,32,5.4,0.0,0.77,1.6847058823529413
251,8,5,aug,wed,93.1,157.3,666.7,13.5,24.0,36,3.1,0.0,0.24,1.6847058823529413
489,4,4,aug,wed,95.1,141.3,605.8,17.7,20.6,58,1.3,0.0,0.0,1.6847058823529413
52,4,3,aug,wed,92.1,111.2,654.1,9.6,20.4,42,4.9,0.0,0.0,1.6847058823529413
44,4,4,sep,wed,90.1,82.9,735.7,6.2,12.9,74,4.9,0.0,0.0,31.72
230,4,4,sep,wed,92.9,133.3,699.6,9.2,26.4,21,4.5,0.0,88.49,9.41
503,2,4,aug,wed,94.5,139.4,689.1,20.0,29.2,30,4.9,0.0,1.95,0.0
450,4,5,aug,wed,95.2,217.7,690.0,18.0,23.4,49,5.4,0.0,6.43,49.59
